coffee_id,Country_of_Origin,Farm_Name,Mill,Company,Altitude,Region,Producer,Number_of_Bags,Bag_Weight,In_Country_Partner,Harvest_Year,Owner,Variety,Status,Processing_Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Overall,Defects,Total_Cup_Points,Moisture,Color,Category_One_Defects,Category_Two_Defects,Quakers,Certification_Body,parsed_expiration,parsed_grading_date
1117,Nicaragua,NULL,NULL,costco wholesale industries,NULL,NULL,NULL,1,5,Specialty Coffee Association,2013,honor dela fuente,NULL,,Natural / Dry,7.25,7.17,6.92,7.25,7.17,7.25,10,10,10,7.08,0,80.08,0.1,Green,0,4,0,Specialty Coffee Association,2015-02-25,2014-02-25
1102,Colombia,NULL,NULL,costco wholesale industries,NULL,NULL,NULL,1,2,Specialty Coffee Association,2012,honor dela fuente,Typica,,Washed / Wet,7.42,8,7.83,7.75,8.08,7.58,8.67,8.67,8.67,7.58,0,80.25,0.1,Green,0,0,0,Specialty Coffee Association,2015-01-08,2014-01-08
1296,Colombia,NULL,NULL,costco wholesale industries,NULL,NULL,NULL,1,5,Specialty Coffee Association,2013,honor dela fuente,NULL,,Natural / Dry,8,7.33,7.75,7.33,7.42,7.67,6.67,6.67,6.67,7.33,0,72.83,0,Bluish-Green,0,15,0,Specialty Coffee Association,2015-03-03,2014-03-03
1192,Mexico,various,various smallholders' wet mills,NULL,1200,"pluma hidalogo, oaxaca",Various smallholders,250,6,Specialty Coffee Association,08/09 crop,masamichi hiroike,Typica,,NULL,6.75,6.75,6.83,7.25,7.58,7.08,10,10,10,6.92,0,79.17,0.01,,0,8,0,Specialty Coffee Association,2011-04-09,2010-04-09
1262,Mexico,various,various smallholders' wet mills,NULL,1200,"pluma hidalogo, oaxaca",Various smallholders,250,6,Specialty Coffee Association,08/09 crop,masamichi hiroike,Typica,,NULL,6.67,6.33,6.42,6.83,7,6.92,10,10,10,6.58,0,76.75,0,,0,0,0,Specialty Coffee Association,2011-04-09,2010-04-09
143,Peru,NULL,NULL,NULL,NULL,"penachi, cecanor",CECANOR,1,60,Specialty Coffee Association,,benjamin schmerler,NULL,,NULL,7.67,7.83,7.75,7.75,7.92,7.83,10,10,10,7.92,0,84.67,0,,0,3,0,Specialty Coffee Association,2012-06-13,2011-06-14
190,Ethiopia,NULL,NULL,NULL,1493,limu,Oromia Coffee Farmers Cooperative Union,1,132,Specialty Coffee Association,,benjamin schmerler,NULL,,NULL,7.75,7.75,7.92,7.75,7.5,7.92,10,10,10,7.75,0,84.33,0,,0,1,0,Specialty Coffee Association,2012-06-13,2011-06-14
910,Costa Rica,NULL,NULL,NULL,1600,tarrazu,CoopeTarrazu,1,60,Specialty Coffee Association,,benjamin schmerler,NULL,,NULL,7.25,7.17,7.33,7.33,7.5,7.75,10,10,10,7.25,0,81.58,0,,0,1,0,Specialty Coffee Association,2012-06-13,2011-06-14
41,Thailand,co-op #12,NULL,lanna cafe,1300,chiang rai,ITDP,53,1,Specialty Coffee Association,2012,itdp international,Caturra,,Washed / Wet,7.83,8.33,7.83,8.25,7.58,7.92,10,10,10,8.42,0,86.17,0.1,Green,1,9,0,Specialty Coffee Association,2013-04-12,2012-04-12
541,Philippines,"several, bukidnon, mindanao, philippines",ephemera traders,ephemera traders,1600,asia pacific,Ephemera Traders,4,2,Specialty Coffee Association,2014,zarah zamora perez,Other,,Washed / Wet,8.08,7.5,7.67,7.42,7.33,7.5,10,10,10,7.42,0,82.92,0,Bluish-Green,0,0,0,Specialty Coffee Association,2016-07-20,2015-07-21
629,Colombia,la canada,the beneficio is designed to be ecologic,NULL,1800,52 narino (exact location: mattituy; municipal region: florida code 381,Mariana Cabrera Pantoja; I.D.: 27 423 625,1,1,Specialty Coffee Association,Spring 2011 in Colombia.,george a. fernandez,NULL,,NULL,7.33,7.58,7.42,7.42,7.67,7.67,10,10,10,7.58,0,82.67,0.11,Green,0,0,0,Specialty Coffee Association,2012-11-15,2011-11-16
503,Vietnam,apollo estate,apollo estate,"sunvirtue co., ltd.",1550,vietnam cau dat,"Yeh, Li Chuan.",2,2,Specialty Coffee Association,2014,"sunvirtue co., ltd.",Caturra,,Other,7.75,7.67,7.58,7.58,7.42,7.67,9.33,10,10,8,0,83,0,Green,0,0,0,Specialty Coffee Association,2016-12-27,2015-12-28
445,Vietnam,Apollo Estate,NULL,"sunvirtue co., ltd.",1550,dala,"Yeh, Li Chuan",1,2,Specialty Coffee Association,2017,"sunvirtue co., ltd.",Catimor,,Natural / Dry,7.58,7.42,7.08,7.33,7.58,8.58,10,10,10,7.58,0,83.17,0.07,None,0,0,0,Specialty Coffee Association,2018-05-08,2017-05-08
565,Vietnam,apollo estate,apollo estate,"sunvirtue co., ltd.",1040,vietnam tutra,"Yeh, Li Chuan",3,2,Specialty Coffee Association,2014,"sunvirtue co., ltd.",Other,,Other,7.25,7.58,7.5,7.42,7.75,7.42,10,10,10,7.92,0,82.83,0.11,Green,11,0,0,Specialty Coffee Association,2017-01-18,2016-01-19
861,Vietnam,apollo estate,apollo estate,"sunvirtue co., ltd.",1040,vietnam,Richard Yeh,1,2,Specialty Coffee Association,2014,"sunvirtue co., ltd.",Caturra,,Washed / Wet,7,7.08,7.33,7.5,7.5,7.33,10,10,10,8,0,81.75,0.12,Bluish-Green,0,0,0,Specialty Coffee Association,2016-12-20,2015-12-21
1106,Vietnam,Apollo Estate,NULL,"sunvirtue co., ltd.",1550,dala,"Yeh, Li Chuan",1,2,Specialty Coffee Association,2017,"sunvirtue co., ltd.",Catimor,,Other,7.42,7.25,7.25,7.58,7.42,7.33,8.67,10,10,7.25,0,80.17,0,,0,2,0,Specialty Coffee Association,2018-05-09,2017-05-09
555,Vietnam,"apollo co., ltd.","apollo co., ltd.",royal base corporation,1040,don duong,"Apollo Co., Ltd.",1,2,Specialty Coffee Association,2012,royal base corporation,Other,,Natural / Dry,7.67,7.33,7.17,7.58,8.08,7.42,10,10,10,7.67,0,82.92,0,None,0,17,0,Specialty Coffee Association,2013-07-20,2012-07-20
791,Vietnam,"apollo co., ltd.","apollo co., ltd.",royal base corporation,1040,don duong,"Apollo Co., LTd.",1,2,Specialty Coffee Association,2012,royal base corporation,Other,,Natural / Dry,7.67,8,7.17,7.08,7.67,7.08,10,10,10,7.42,0,82.08,0.12,Green,0,2,0,Specialty Coffee Association,2013-07-23,2012-07-23
1104,Guatemala,several,ixchel,the coffee source inc.,1400,oriente,UNEX,250,1,Specialty Coffee Association,2012,the coffee source inc.,Caturra,,Washed / Wet,7,7.17,7.33,7.33,7,7.17,10,10,10,7.25,0,80.25,0.11,Green,1,12,0,Specialty Coffee Association,2014-01-09,2013-01-09
774,Guatemala,NULL,NULL,the coffee source inc.,1350,oriente,Several producers,250,1,Specialty Coffee Association,2012,the coffee source inc.,Caturra,,Washed / Wet,7.25,7.75,7,7.75,8.17,7.75,10,10,9.33,7.17,0,82.17,0.12,None,0,2,0,Specialty Coffee Association,2013-08-02,2012-08-02
311,Guatemala,several farms,florencia,the coffee source inc.,1300,quetzaltenango,Several producres,250,3,Specialty Coffee Association,2012,the coffee source inc.,Caturra,,Washed / Wet,7.67,7.58,7.58,7.67,7.75,7.75,10,10,10,7.75,0,83.75,0.11,Bluish-Green,0,1,0,Specialty Coffee Association,2013-05-24,2012-05-24
330,Guatemala,finca quequesquez,finca quequesquez,the coffee source inc.,1450,oriente,Finca Quequesquez,250,1,Specialty Coffee Association,2012,the coffee source inc.,Caturra,,Natural / Dry,8.17,8.17,7.83,7.67,8.08,7.75,9.33,9.33,9.33,8,0,83.67,0.11,Green,0,1,0,Specialty Coffee Association,2013-08-23,2012-08-23
88,Guatemala,coop. hoja blanca - fedecocagua,coop. hoja blanca - fedecocagua,the coffee source inc.,1400,huehuetenango,Coop. Hoja Blanca - Fedecocagua,250,1,Specialty Coffee Association,2012,the coffee source inc.,Caturra,,Washed / Wet,8.25,8,7.67,7.92,7.75,7.67,10,10,10,7.92,0,85.17,0,,0,7,0,Specialty Coffee Association,2013-01-17,2012-01-18
1046,Costa Rica,several,cafe altura de san ramon,the coffee source inc.,1300,san ramon,SEVERAL,250,3,Specialty Coffee Association,2014,the coffee source inc.,Caturra,,Washed / Wet,7.33,7.33,7.25,7.25,7.17,7.17,10,10,10,7.25,0,80.75,0.11,Green,0,0,0,Specialty Coffee Association,2015-04-11,2014-04-11
1179,Colombia,several,spot,the coffee source inc.,1200,pereira,Spot,250,3,Specialty Coffee Association,2013,the coffee source inc.,Caturra,,Washed / Wet,7.42,7.25,6.75,7.25,7.42,7.25,9.33,9.33,10,7.33,0,79.33,0,Green,0,3,0,Specialty Coffee Association,2015-01-08,2014-01-08
984,Guatemala,finca quequesquez,finca quequesquez,the coffee source inc.,1450,oriente,Finca Quequesquez,250,1,Specialty Coffee Association,2012,the coffee source inc.,Caturra,,Washed / Wet,7.42,7.25,7.33,7.25,7.25,7.42,10,10,10,7.25,0,81.17,0.12,Green,0,4,0,Specialty Coffee Association,2013-08-20,2012-08-20
405,Costa Rica,several,cafe altura de san ramon,the coffee source inc.,1300,san ramon,SEVERAL,250,3,Specialty Coffee Association,2014,the coffee source inc.,Caturra,,Washed / Wet,7.67,7.67,7.42,7.67,7.67,7.67,10,10,10,7.58,0,83.33,0.12,Green,0,3,0,Specialty Coffee Association,2015-04-07,2014-04-07
22,Costa Rica,several,cafe altura de san ramon,the coffee source inc.,1300,san ramon,SEVERAL,250,3,Specialty Coffee Association,2014,the coffee source inc.,Caturra,,Washed / Wet,8.08,8.25,8,8.17,8,8.33,10,10,10,8.33,0,87.17,0.11,Green,0,2,0,Specialty Coffee Association,2015-04-02,2014-04-02
1150,Costa Rica,several,coopeagri,the coffee source inc.,1100,brunca,Coopeagri,275,2,Specialty Coffee Association,2013,the coffee source inc.,Catuai,,Washed / Wet,7.58,7.5,7.67,7.75,7.67,7.58,8,8,10,8,0,79.75,0.1,Bluish-Green,0,4,0,Specialty Coffee Association,2014-09-23,2013-09-23
124,El Salvador,several,la majada cooperative,NULL,1200,santa ana,Several producers,250,69,Specialty Coffee Association,2010-2011,the coffee source inc.,NULL,,NULL,7.75,8,8,8.33,7.67,7.92,10,10,9.33,7.75,0,84.75,0.15,,0,3,0,Specialty Coffee Association,2012-08-22,2011-08-23
79,Costa Rica,several,cafe altura de san ramon,the coffee source inc.,1300,san ramon,SEVERAL,250,3,Specialty Coffee Association,2014,the coffee source inc.,Caturra,,Washed / Wet,8,7.58,7.58,7.67,8.08,8.5,10,10,10,7.92,0,85.33,0.1,Bluish-Green,0,2,0,Specialty Coffee Association,2015-05-01,2014-05-01
191,Guatemala,las minas,las minas,NULL,1387,nuevo oriente,Miguel Hernandez,250,1,Specialty Coffee Association,December 2009-March 2010,the coffee source inc.,NULL,,NULL,7.5,7.67,7.75,7.67,7.92,7.92,10,10,10,7.92,0,84.33,0.04,,1,1,0,Specialty Coffee Association,2011-04-30,2010-04-30
477,El Salvador,several,la majada cooperative,NULL,1200,santa ana,Several,250,69,Specialty Coffee Association,2010-2011,the coffee source inc.,NULL,,NULL,7.42,7.83,8.17,8.08,7.17,7.58,10,9.33,10,7.58,0,83.17,0.14,,0,3,0,Specialty Coffee Association,2012-08-22,2011-08-23
578,El Salvador,several farms,la majada cooperative,NULL,1200,santa ana,La Majada Cooperative,250,69,Specialty Coffee Association,2010-2011,the coffee source inc.,NULL,,NULL,7.75,7.58,7.75,7.75,7.25,7.5,10,10,10,7.25,0,82.83,0,,1,3,0,Specialty Coffee Association,2012-08-22,2011-08-23
78,Costa Rica,several,cafe altura de san ramon,the coffee source inc.,1300,west valley,Cafe Altura de San Ramon,250,3,Specialty Coffee Association,2014,the coffee source inc.,Caturra,,Washed / Wet,7.92,8.08,8,7.92,8,8.08,10,10,9.33,8,0,85.33,0,Bluish-Green,0,0,0,Specialty Coffee Association,2015-05-01,2014-05-01
1048,Haiti,2000 farms,utcam usine traitement cafe marmelade,haiti coffee,1000,haiti,COOPAIMAR Copperative Agro Industriel de Marmelade,1,2,Specialty Coffee Association,2012,myriam kaplan-pasternak,Typica,,Washed / Wet,7.42,7,7.42,7.25,7.08,7.33,10,10,10,7.25,0,80.75,0.12,Green,0,0,0,Specialty Coffee Association,2013-05-22,2012-05-22
1298,Haiti,2000 farmers,cooperative agro-industrielle de marmela,NULL,1020,marmelade,Asosyasyon Plantè Kafe Krètapen (APCAP) ;Asosyasyon plantè Kafe Basen (APKBA);Asosyasyon Plantè Kafe,85,130,Specialty Coffee Association,2010,myriam kaplan-pasternak,NULL,,NULL,6.92,6.75,7.08,7.17,7.33,6.67,10,5.33,8.67,6.42,0,72.33,0.08,,1,0,0,Specialty Coffee Association,2012-08-22,2011-08-23
1308,Haiti,200 farms,coeb koperativ ekselsyo basen (350 members),haiti coffee,350,"department d'artibonite , haiti",COEB Koperativ Ekselsyo Basen,1,2,Specialty Coffee Association,2012,myriam kaplan-pasternak,Typica,,Natural / Dry,6.75,6.58,6.42,6.67,7.08,6.67,9.33,6,6,6.42,0,67.92,0.14,Blue-Green,8,16,0,Specialty Coffee Association,2013-05-24,2012-05-24
922,Haiti,mixed,coopacvod,haiti coffee,825,"dondon, haiti",Mixed,300,4,Specialty Coffee Association,2013,myriam kaplan-pasternak,Blue Mountain,,Washed / Wet,7.42,7.33,7.25,7.42,7.42,7.33,10,10,10,7.33,0,81.5,0.11,Bluish-Green,0,0,0,Specialty Coffee Association,2015-05-05,2014-05-05
1257,Haiti,mixed,kkkld,haiti coffee,825,"dondon, haiti",Mixed,1,4,Specialty Coffee Association,2013,myriam kaplan-pasternak,Typica,,Washed / Wet,6.83,6.83,6.83,6.75,6.92,6.92,9.33,10,10,6.83,0,77.25,0.1,,0,1,0,Specialty Coffee Association,2015-05-05,2014-05-05
17,Indonesia,toarco jaya,NULL,NULL,1500,sulawesi,P.T. Toarco Jaya,1,2,Specialty Coffee Association,May-August,grounds for health admin,NULL,,NULL,8.33,8.25,7.83,7.75,8.5,8.42,10,10,10,8.33,0,87.42,0.03,,0,0,0,Specialty Coffee Association,2011-05-31,2010-05-31
125,Nicaragua,santa martha,beneficio atlantic sebaco,NULL,925,jinotega,Juan Alvaro Munguia,2,6,Specialty Coffee Association,2009 - 2010,grounds for health admin,NULL,,NULL,7.83,7.58,7.58,7.83,7.75,7.67,10,10,10,8.5,0,84.75,0.18,,0,2,0,Specialty Coffee Association,2011-05-31,2010-05-31
75,El Salvador,sierra nevada,beneficio las tres puertas,NULL,1400,apaneca,J. Hill y Cia SA de CV,2,1,Specialty Coffee Association,2009 / 2010,grounds for health admin,NULL,,NULL,8.08,7.83,7.83,8.08,7.83,7.83,10,10,10,7.92,0,85.42,0.01,,0,0,0,Specialty Coffee Association,2011-05-31,2010-05-31
14,United States (Hawaii),arianna farms,NULL,NULL,2000,kona,"Robert, Sharon, Arianna Wood",1,1,Specialty Coffee Association,Sept 2009 - April 2010,grounds for health admin,NULL,,NULL,8.33,8.42,8.08,8.25,8.25,8,10,10,10,8.58,0,87.92,0,,0,2,0,Specialty Coffee Association,2011-05-31,2010-05-31
396,Mexico,NULL,NULL,NULL,1050,nayarit,"Productores de Cafe de El Cuarenteno, S. de P.R. de R.L",6,6,Specialty Coffee Association,January Through April,grounds for health admin,NULL,,NULL,7.25,7.88,7.38,7.63,7.5,8.75,9,10,10,8,0,83.38,0.09,,2,4,0,Specialty Coffee Association,2011-05-26,2010-05-26
532,Nicaragua,santa rosa,beneficio atlantic sebaco,NULL,NULL,matagalpa,Juan AugustinPalacio,2,6,Specialty Coffee Association,2009-2010,grounds for health admin,Caturra,,NULL,7.58,7.83,7.75,7.92,7.92,8.08,9.33,9.33,9.33,7.92,0,83,0.07,,0,0,0,Specialty Coffee Association,2011-05-31,2010-05-31
3,Guatemala,"san marcos barrancas ""san cristobal cuch",NULL,NULL,1700,NULL,NULL,5,1,Specialty Coffee Association,,grounds for health admin,Bourbon,,NULL,8.42,8.5,8.42,8.42,8.33,8.42,10,10,10,9.25,0,89.75,0,,0,0,0,Specialty Coffee Association,2011-05-31,2010-05-31
52,United States (Hawaii),hula daddy kona coffee,NULL,NULL,427,kona,Hula Daddy Kona Coffee,1,2,Specialty Coffee Association,Fall 2009,grounds for health admin,NULL,,NULL,8.33,8.17,7.75,8,7.75,7.83,10,10,10,8.17,0,86,0,,0,0,0,Specialty Coffee Association,2011-05-31,2010-05-31
1076,Brazil,pereira estate coffee,carapina armazens gerais,exportadora de cafés carmo de minas ltda,1250,mantiqueira de minas,MARIA ROGERIA COSTA PEREIRA,300,60,Specialty Coffee Association,2013,jacques pereira carneiro,Yellow Bourbon,,Semi-washed / Semi-pulped,7.42,7.42,7.08,7.33,7.67,7.5,9.33,9.33,10,7.42,0,80.5,0.1,None,0,10,0,Specialty Coffee Association,2015-04-17,2014-04-17
42,Brazil,pereira estate coffee,cocarive,NULL,1200,sul de minas - carmo de minas,Maria Rogeria Costa Pereira,300,60,Specialty Coffee Association,2010,jacques pereira carneiro,Yellow Bourbon,,NULL,8.17,7.92,7.92,7.75,8.33,8,10,10,10,8.08,0,86.17,0.08,,0,2,0,Specialty Coffee Association,2012-01-04,2011-01-04
43,Brazil,pereira estate coffee,cocarive,NULL,1200,sul de minas - carmo de minas,Maria Rogeria Costa Pereira,300,60,Specialty Coffee Association,2010,jacques pereira carneiro,Yellow Bourbon,,NULL,8.42,7.92,8,7.75,7.92,8,10,10,10,8.17,0,86.17,0.01,,0,3,0,Specialty Coffee Association,2012-01-04,2011-01-04
853,Brazil,sertao farm,armazens gerais cocarive,exportadora de cafés carmo de minas ltda,1250,sul de minas,NAZARETH DIAS PEREIRA,300,60,Specialty Coffee Association,2012,jacques pereira carneiro,Bourbon,,Semi-washed / Semi-pulped,7.75,7.75,7.5,7.42,7.83,7.75,9.33,9.33,9.33,7.83,0,81.83,0.12,Bluish-Green,0,0,0,Specialty Coffee Association,2014-03-02,2013-03-02
513,Brazil,sertao farm,cocarive,exportadora de cafés carmo de minas ltda,1250,sul de minas,NAZARETH DIAS PEREIRA,250,2,Specialty Coffee Association,2013/2014,jacques pereira carneiro,Yellow Bourbon,,Semi-washed / Semi-pulped,7.75,7.58,7.42,7.67,7.42,7.67,10,10,10,7.5,0,83,0.12,Bluish-Green,0,4,0,Specialty Coffee Association,2015-01-02,2014-01-02
921,Brazil,pereira estate coffee,carapina armazens gerais,exportadora de cafés carmo de minas ltda,1200,sul de minas,MARIA ROGERIA COSTA PEREIRA,300,60,Specialty Coffee Association,2014,jacques pereira carneiro,Yellow Bourbon,,Semi-washed / Semi-pulped,7.58,7.5,7.5,7.67,7.67,7.83,9.33,9.33,9.33,7.75,0,81.5,0,Green,1,1,0,Specialty Coffee Association,2015-07-29,2014-07-29
87,Indonesia,NULL,NULL,"nomura trading co., ltd.",1325,lintong,NULL,54,60,Specialty Coffee Association,2012,"nomura trading co., ltd.",Sumatra Lintong,,Semi-washed / Semi-pulped,7.75,7.83,7.67,8,8.08,7.83,10,10,10,8,0,85.17,0.11,Green,0,3,0,Specialty Coffee Association,2013-11-26,2012-11-26
63,El Salvador,el majahual,j. hill y cia,atlantic specialty coffee,1500,apaneca,Aida Batlle,275,2,Specialty Coffee Association,2013,atlantic specialty coffee,Bourbon,,Washed / Wet,7.92,8.17,8,7.92,7.75,7.83,10,10,10,8,0,85.58,0.1,Blue-Green,0,3,0,Specialty Coffee Association,2014-03-18,2013-03-18
228,El Salvador,el majahual,j. hill y cia,atlantic specialty coffee,1500,apaneca,Aida Batlle,275,2,Specialty Coffee Association,2013,atlantic specialty coffee,Bourbon,,Natural / Dry,8.42,8.08,7.5,7.17,7.58,8.17,9.33,10,10,7.92,0,84.17,0.11,Bluish-Green,0,2,0,Specialty Coffee Association,2014-03-18,2013-03-18
62,Papua New Guinea,tairora cherry – bonta,baroida,cqi,1700,eastern highlands province,"Colbran CoffeeLands, Ltd.",7,60,Specialty Coffee Association,2012,"colbran coffeelands, ltd.",NULL,,Washed / Wet,8.33,8.42,7.83,8.33,8,8.25,9.33,9.33,10,7.92,0,85.75,0.12,Bluish-Green,0,1,0,Specialty Coffee Association,2013-10-25,2012-10-25
293,Thailand,"doi chaang coffee original co.,ltd",premium grade a,NULL,1500,"doi chaang village, chiang rai, thialand",Doi Chaang Community Enterprise Piko,175,50,Specialty Coffee Association,2011,doi chaang coffee company,NULL,,NULL,7.75,7.75,7.58,8,7.67,7.58,10,10,10,7.5,0,83.83,0.02,,0,2,0,Specialty Coffee Association,2012-09-19,2011-09-20
908,Thailand,"doi chaang coffee original co.,ltd",peaberry,NULL,1500,"doi chaang village, chiang rai, thialand",Doi Chaang Community Enterprise Piko,12,50,Specialty Coffee Association,2011,doi chaang coffee company,NULL,,NULL,7.08,7.33,7.58,7.58,7.17,7.5,10,10,10,7.33,0,81.58,0.01,,0,0,0,Specialty Coffee Association,2012-11-15,2011-11-16
1201,Peru,NULL,NULL,sustainable harvest,1400,san ignacio,Frontera,280,69,Specialty Coffee Association,2012,sustainable harvest coffee,Typica,,Washed / Wet,7.67,7.17,7.08,7.25,8,7.5,8.67,9.33,9.33,7,0,79,0,,0,4,0,Specialty Coffee Association,2014-01-08,2013-01-08
395,Thailand,doi tung development project,NULL,NULL,NULL,NULL,Doi Tung Development Project,4,1,Specialty Coffee Association,,doi tung development project,Peaberry,,NULL,7.58,7.25,7.5,7.92,7.92,7.42,10,10,10,7.83,0,83.42,0.11,,0,0,0,Specialty Coffee Association,2011-04-13,2010-04-13
559,Thailand,doi tung development project,NULL,NULL,NULL,NULL,Doi Tung Development Project,2,1,Specialty Coffee Association,,doi tung development project,NULL,,NULL,7.42,7.58,7.5,7.17,7.5,8,10,10,10,7.75,0,82.92,0,,0,0,0,Specialty Coffee Association,2011-04-13,2010-04-13
533,Thailand,doi tung development project,NULL,NULL,NULL,NULL,Doi Tung Development Project,1,1,Specialty Coffee Association,,doi tung development project,NULL,,NULL,7.5,7.25,7.42,7.75,8.17,7.5,10,10,10,7.42,0,83,0,,0,0,0,Specialty Coffee Association,2011-04-13,2010-04-13
803,Thailand,NULL,doi tung development project,doi tung development project,800,thailand,Doi Tung Development Project,1,1,Specialty Coffee Association,2013,doi tung development project,NULL,,Washed / Wet,7.58,7.5,7.42,7.42,7.33,7.42,10,10,10,7.33,0,82,0.11,Green,0,0,0,Specialty Coffee Association,2015-06-20,2014-06-20
1127,Thailand,doi tung development project,doi tung development project,doi tung development project,800,thailand,Doi Tung Development Project,2,1,Specialty Coffee Association,2012,doi tung development project,NULL,,Washed / Wet,7.33,6.67,7.08,7.42,7.42,7.08,10,10,10,7,0,80,0,Green,0,0,0,Specialty Coffee Association,2014-05-29,2013-05-29
322,Thailand,NULL,NULL,doi tung development project,800,thailand,Doi Tung Development Project,1,1,Specialty Coffee Association,2014,doi tung development project,NULL,,Washed / Wet,7.5,7.75,7.58,7.83,7.67,7.58,10,10,10,7.75,0,83.67,0.12,Bluish-Green,0,0,0,Specialty Coffee Association,2016-06-08,2015-06-09
1165,Thailand,doi tung development project,NULL,NULL,NULL,NULL,Doi Tung Development Project,5,1,Specialty Coffee Association,,doi tung development project,Peaberry,,NULL,7.17,7.17,7,7,7.25,6.92,10,10,10,7.17,0,79.67,0,,1,0,0,Specialty Coffee Association,2011-04-09,2010-04-09
454,Thailand,NULL,NULL,doi tung development project,800,thailand,Doi Tung Development Project,1,1,Specialty Coffee Association,2014,doi tung development project,NULL,,Washed / Wet,7.67,7.58,7.58,7.75,7.42,7.67,10,10,10,7.5,0,83.17,0.12,Bluish-Green,0,0,0,Specialty Coffee Association,2016-06-08,2015-06-09
626,Thailand,doi tung development project,doi tung development project,mae fah luang foundation,NULL,thailand,Doi Tung Development Project,2,1,Specialty Coffee Association,2012,doi tung development project,Other,,Washed / Wet,7.83,7.33,7.83,7.33,7.58,7.83,10,10,9.33,7.58,0,82.67,0.12,Bluish-Green,0,0,0,Specialty Coffee Association,2013-06-13,2012-06-13
294,Thailand,doi tung development project,NULL,NULL,NULL,NULL,NULL,1,60,Specialty Coffee Association,2011,doi tung development project,NULL,,NULL,7.5,7.83,7.58,7.58,7.75,7.83,10,10,10,7.75,0,83.83,0.01,,0,0,0,Specialty Coffee Association,2012-08-15,2011-08-16
255,Thailand,doi tung development project,doi tung development project,mae fah luang foundation,NULL,thailand,Doi Tung Development Project,2,1,Specialty Coffee Association,2012,doi tung development project,Other,,Washed / Wet,7.92,8.17,8.17,8.42,8.08,8.17,8.67,8.67,9.33,8.42,0,84,0.12,Green,0,0,0,Specialty Coffee Association,2013-06-21,2012-06-21
640,Thailand,NULL,NULL,doi tung development project,800,thailand,Doi Tung Development Project,1,1,Specialty Coffee Association,2014,doi tung development project,NULL,,Washed / Wet,7.75,7.33,7.42,7.67,7.42,7.5,10,10,10,7.5,0,82.58,0.12,Green,0,0,0,Specialty Coffee Association,2016-06-08,2015-06-09
1011,Thailand,doi tung development project,doi tung development project,doi tung development project,800,thailand,Doi Tung Development Project,2,1,Specialty Coffee Association,2012,doi tung development project,NULL,,Washed / Wet,7.33,7.42,7.25,7.42,7.25,7.17,10,10,10,7.17,0,81,0,Green,0,3,0,Specialty Coffee Association,2014-05-29,2013-05-29
658,Thailand,NULL,NULL,doi tung development project,800,thailand,Doi Tung Development Project,1,1,Specialty Coffee Association,2014,doi tung development project,NULL,,Washed / Wet,7.5,7.83,7.5,7.75,7.33,7.42,9.33,10,10,7.83,0,82.5,0.12,Green,0,0,0,Specialty Coffee Association,2016-06-08,2015-06-09
909,Thailand,doi tung development project,NULL,NULL,NULL,NULL,NULL,1,60,Specialty Coffee Association,2011,doi tung development project,NULL,,NULL,7.33,7.33,7.17,7.5,7.58,7.33,10,10,10,7.33,0,81.58,0.2,,0,0,0,Specialty Coffee Association,2012-08-15,2011-08-16
258,Thailand,doi tung development project,NULL,NULL,NULL,NULL,NULL,1,60,Specialty Coffee Association,2011,doi tung development project,NULL,,NULL,7.58,7.75,7.58,7.75,7.58,7.75,10,10,10,8,0,84,0.06,,0,0,0,Specialty Coffee Association,2012-08-15,2011-08-16
1148,Thailand,NULL,doi tung development project,doi tung development project,800,thailand,Doi Tung Development Project,1,1,Specialty Coffee Association,2013,doi tung development project,NULL,,Washed / Wet,7.25,7.08,6.92,7.5,7.08,6.92,10,10,10,7,0,79.75,0.12,Green,0,0,0,Specialty Coffee Association,2015-06-16,2014-06-16
1160,Thailand,NULL,doi tung development project,doi tung development project,800,thailand,Doi Tung Development Project,1,1,Specialty Coffee Association,2013,doi tung development project,NULL,,Washed / Wet,6.92,7.17,6.83,7.42,7.17,7.08,10,10,10,7.08,0,79.67,0.12,Blue-Green,0,0,0,Specialty Coffee Association,2015-06-16,2014-06-16
527,Thailand,doi tung development project,NULL,NULL,NULL,NULL,NULL,1,60,Specialty Coffee Association,2011,doi tung development project,NULL,,NULL,7.33,7.67,7.58,7.5,7.75,7.67,10,10,10,7.5,0,83,0.28,,0,0,0,Specialty Coffee Association,2012-08-15,2011-08-16
1030,Thailand,doi tung development project,NULL,NULL,NULL,NULL,Doi Tung Development Project,3,1,Specialty Coffee Association,,doi tung development project,Peaberry,,NULL,7.67,7.58,7.33,7.33,7.17,7,10,10,10,6.83,0,80.92,0,,0,0,0,Specialty Coffee Association,2011-04-13,2010-04-13
763,Thailand,NULL,NULL,doi tung development project,800,thailand,Doi Tung Development Project,1,1,Specialty Coffee Association,2014,doi tung development project,NULL,,Washed / Wet,7.42,7.42,7.17,7.75,7.25,7.67,10,10,10,7.5,0,82.17,0.12,Bluish-Green,0,0,0,Specialty Coffee Association,2016-06-08,2015-06-09
